code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1104057,5828,7167,375,108,13478,6443,3961,3239,860,3294,14558,0.432408369,0.531755453,0.027823119,0.442574529,0.49457343,0.059074049,-0.01016616,0.037182023,-0.031250929,0.531755453,2,0.099347084,0.432408369,1
1104054,6010,6415,362,136,12923,5848,3886,3244,859,3298,13891,0.465062292,0.496401764,0.028012072,0.420992009,0.513281981,0.061838601,0.044070283,-0.016880217,-0.033826529,0.496401764,2,0.031339472,0.465062292,1
1104055,2597,3160,212,61,6030,2713,1733,1448,509,1481,6436,0.430679934,0.524046434,0.035157546,0.421535115,0.494251088,0.079086389,0.009144819,0.029795347,-0.043928843,0.524046434,2,0.093366501,0.430679934,1
1104069,2881,2776,159,52,5868,2720,1735,1499,370,1523,6348,0.490967962,0.473074301,0.027096115,0.428481411,0.509451796,0.058286074,0.06248655,-0.036377495,-0.03118996,0.490967962,1,0.017893661,0.473074301,2
1104070,3393,3006,162,54,6615,3753,2353,2212,538,2243,8887,0.51292517,0.454421769,0.024489796,0.422302239,0.513671655,0.060537864,0.090622931,-0.059249887,-0.036048068,0.51292517,1,0.058503401,0.454421769,2
1105055,4617,4063,276,89,9045,3830,2467,2019,599,2041,8937,0.510447761,0.449198452,0.030514096,0.428555444,0.501958152,0.067024729,0.081892318,-0.052759699,-0.036510632,0.510447761,1,0.061249309,0.449198452,2
1105056,6232,5619,396,148,12395,5878,3446,2977,924,3012,13260,0.50278338,0.453327955,0.031948366,0.443288084,0.48438914,0.069683258,0.059495296,-0.031061185,-0.037734892,0.50278338,1,0.049455426,0.453327955,2
1105057,4682,4371,266,126,9445,4220,2812,2366,685,2419,10136,0.495712017,0.462784542,0.028163049,0.416337806,0.510852407,0.0675809,0.079374211,-0.048067865,-0.039417851,0.495712017,1,0.032927475,0.462784542,2
1105058,8871,8061,474,203,17609,7729,5139,4218,1238,4303,18409,0.503776478,0.457777273,0.026918053,0.419848987,0.508283992,0.067249715,0.083927491,-0.050506719,-0.040331662,0.503776478,1,0.045999205,0.457777273,2
1105059,3601,3391,269,73,7334,3333,1807,1452,512,1470,7122,0.491000818,0.462367058,0.036678484,0.467986521,0.457596181,0.071889919,0.023014297,0.004770877,-0.035211435,0.491000818,1,0.028633761,0.462367058,2
1105060,6834,6394,455,145,13828,6231,3382,3034,930,3084,13627,0.494214637,0.46239514,0.032904252,0.457253981,0.47082997,0.068246863,0.036960656,-0.00843483,-0.035342611,0.494214637,1,0.031819497,0.46239514,2
1105061,7679,6977,435,140,15231,6335,3984,3210,900,3276,14495,0.504169129,0.458078918,0.028560173,0.437047258,0.496309072,0.062090376,0.067121871,-0.038230154,-0.033530203,0.504169129,1,0.046090211,0.458078918,2
1105062,7030,9721,481,106,17338,7823,5514,4132,1131,4175,18643,0.405467759,0.560675972,0.027742531,0.419621306,0.517405997,0.060666202,-0.014153547,0.043269975,-0.032923671,0.560675972,2,0.155208213,0.405467759,1
1105063,7687,11008,490,72,19257,8126,5884,4295,1160,4351,19521,0.399179519,0.571636288,0.025445293,0.416269658,0.521438451,0.059423185,-0.017090139,0.050197837,-0.033977893,0.571636288,2,0.172456769,0.399179519,1
