dong_cd,dong_nm
3104266,신촌동
3104267,갈산동
3106051,광명1동
3106051,광명2동
3106053,광명3동
3106054,광명4동
3106055,광명5동
3106056,광명6동
3106057,광명7동
3106058,철산1동
3106059,철산2동
3106060,철산3동
3106061,철산4동
3106062,하안1동
3106063,하안2동
3106064,하안3동
3106065,하안4동
3106066,소하1동
3106069,소하2동
3106068,학온동
3106070,일직동
3107011,팽성읍
3107012,안중읍
3107013,포승읍
3107031,진위면
3107032,서탄면
3107033,고덕면
3107034,오성면
3107037,현덕면
3107051,중앙동
3107052,서정동
3107053,송탄동
3107055,지산동
3107056,송북동
3107057,신장1동
3107058,신장2동
3107059,신평동
3107060,원평동
3107061,통복동
3107067,비전1동
3107065,비전2동
3107064,세교동
3107014,청북읍
3107066,용이동
3107068,동삭동
3107069,고덕동
3126011,백석읍
3126031,은현면
3126032,남면
3126033,광적면
3126034,장흥면
3126051,양주1동
3126052,양주2동
3126053,회천1동
3126054,회천2동
3126055,회천3동
3126056,회천4동
3108051,생연1동
3108052,생연2동
3108053,중앙동
3108055,보산동
3108056,불현동
3108061,송내동
3108058,소요동
3108060,상패동
3109151,일동
3109174,이동
3109154,본오1동
3109155,본오2동
3109156,본오3동
3109157,부곡동
3109158,월피동
3109162,성포동
3109171,반월동
3109173,안산동
3109176,사동
3109177,사이동
3109178,해양동
3109259,와동
3109273,호수동
3109266,초지동
3109268,선부1동
3109269,선부2동
3109270,선부3동
3109272,대부동
3109274,고잔동
3109275,중앙동
3109276,원곡동
3109278,백운동
3109277,신길동
3110151,주교동
3110152,원신동
3110153,흥도동
3110154,성사1동
3110155,성사2동
3110156,효자동
3110158,창릉동
3110159,고양동
3110160,관산동
3110161,능곡동
3110162,화정1동
3110163,화정2동
3110164,행주동
3110165,행신1동
3110166,행신2동
31101XX,행신3동
3110167,화전동
3110168,대덕동
31101XX,삼송1동
31101XX,삼송2동
31101XX,행신4동
3110351,식사동
3110353,정발산동
3110354,풍산동
3110355,백석1동
3110361,백석2동
3110356,마두1동
3110357,마두2동
3110358,장항1동
3110359,장항2동
3110360,고봉동
31103XX,중산1동
31103XX,중산2동
3110451,일산1동
3110452,일산2동
3110453,일산3동
